,zipcode,property_tax,owner_occupied,renter_occupied,total_vacant,total_dwellings,studio_rent,one_bed_rent,two_bed_rent,three_bed_rent,four_bed_rent,fte_employed,unemployed,average_income,projected_income,expense_index,average_commute,crime_index
0,32003,3778,8834,2186,704,11724,746,921,1113,1455,1852,10671,1069,110116,119505,104,35,28
1,32008,1120,1848,436,964,3247,686,702,800,1026,1135,1154,93,51662,57173,82,34,118
2,32009,1493,1087,131,109,1328,746,921,1113,1455,1852,214,84,82853,95351,104,39,143
3,32011,1495,4624,1053,459,6135,746,921,1113,1455,1852,2053,506,74998,86432,96,30,123
4,32024,1374,6868,1542,768,9178,634,659,869,1131,1178,2185,661,67920,74309,90,26,275
5,32025,1259,4865,2876,1167,8907,634,659,869,1131,1178,10360,376,58351,63803,81,19,191
6,32026,0,6,1,1,7,637,652,743,1047,1286,2,2,55105,60530,93,19,251
7,32033,1856,1735,331,263,2330,746,921,1113,1455,1852,1169,410,66993,76257,85,28,183
8,32034,4791,12705,4043,5103,21850,746,921,1113,1455,1852,13680,1347,104052,119632,85,22,163
9,32038,1117,3494,696,825,5015,634,659,869,1131,1178,705,314,56508,61665,84,31,528
10,32040,1261,2270,547,306,3124,530,599,790,1021,1315,983,202,79177,88088,101,32,97
11,32043,2263,8287,2569,1013,11869,746,921,1113,1455,1852,10039,1174,76067,83060,93,32,103
12,32044,1006,647,152,150,949,637,652,743,1047,1286,135,56,62665,68787,85,32,204
13,32046,1342,2750,786,324,3860,746,921,1113,1455,1852,1354,349,66672,76732,92,37,103
14,32052,698,1771,734,592,3097,553,565,734,1050,1271,1912,272,47899,54295,82,22,158
15,32053,723,1215,329,459,2003,553,565,734,1050,1271,163,99,55568,62991,91,24,21
16,32054,902,2740,1025,423,4189,629,644,734,917,1271,2439,278,59594,65947,90,29,95
17,32055,1237,4284,2140,954,7379,634,659,869,1131,1178,11825,570,66702,72922,88,22,130
18,32058,820,1072,284,188,1544,637,652,743,1047,1286,675,213,51718,56797,91,32,155
19,32059,967,890,258,192,1340,629,641,734,966,1271,547,20,53738,59278,86,22,168
20,32061,806,98,28,22,148,634,659,869,1131,1178,35,12,65474,71601,87,22,130
21,32062,1140,929,151,183,1263,629,644,734,1027,1191,292,85,57150,63278,86,30,109
22,32063,1493,3718,1266,441,5425,530,599,790,1021,1315,7249,355,74086,82272,97,30,140
23,32064,1012,1556,1044,443,3042,629,644,734,1027,1191,5097,347,53699,59597,86,21,31
24,32065,3091,10827,3453,1178,15457,746,921,1113,1455,1852,7200,1449,83618,91260,106,31,62
25,32066,816,1446,525,506,2476,686,702,800,1026,1135,1175,116,58877,63853,91,21,35
26,32068,1924,16443,3810,1618,21871,746,921,1113,1455,1852,5660,1830,73342,80211,100,38,90
27,32071,1031,1364,295,361,2020,629,644,734,1027,1191,216,34,52906,58485,81,34,138
28,32072,654,116,24,29,170,530,599,790,1021,1315,18,14,52061,57901,84,46,165
29,32073,1909,10413,5327,1312,17051,746,921,1113,1455,1852,26073,1186,71579,78133,91,26,94
30,32079,1331,85,148,22,255,746,921,1113,1455,1852,84,17,69774,75994,50,23,103
31,32080,4077,7353,3099,4908,15361,746,921,1113,1455,1852,4887,492,99265,112885,79,22,49
32,32081,5927,6802,1907,907,9616,746,921,1113,1455,1852,1777,908,141029,158863,116,26,103
33,32082,5871,10309,3134,2323,15766,746,921,1113,1455,1852,10626,995,156028,179229,93,26,56
34,32083,641,359,167,47,574,629,644,734,917,1271,102,32,50779,56394,87,27,101
35,32084,2449,9322,4957,2898,17177,746,921,1113,1455,1852,15863,1364,74320,84869,81,20,161
36,32086,2090,9876,3283,1820,14979,746,921,1113,1455,1852,13158,754,74624,85073,83,25,80
37,32087,901,1290,298,199,1787,530,599,790,1021,1315,281,148,67690,75199,100,38,157
38,32091,1092,4486,1678,1043,7207,637,652,743,1047,1286,7036,400,55647,61056,85,26,247
39,32092,3637,12470,2796,1728,16994,746,921,1113,1455,1852,7603,1510,106206,121199,107,30,209
40,32095,4905,4566,1449,964,6979,746,921,1113,1455,1852,6617,751,109620,126253,94,25,112
41,32096,692,931,236,240,1408,634,659,869,1131,1178,1562,94,44457,49673,79,28,416
42,32097,2152,6418,1794,608,8820,746,921,1113,1455,1852,4498,951,81228,93389,95,26,105
43,32102,1839,962,249,571,1781,1055,1140,1321,1713,2057,323,175,54426,61574,79,32,151
44,32110,1465,2722,931,673,4327,754,854,1100,1448,1633,2784,689,55700,63134,82,25,106
45,32112,1163,2432,747,1320,4499,623,627,765,997,1037,1125,211,45467,49580,84,29,391
46,32113,1247,2138,576,687,3401,692,757,939,1226,1356,642,264,52636,58704,85,30,153
